hospital_id,official_name_zh,filing_number,filing_status,identity_confirmation_status,english_name,english_review_status,approved_alias_count,pending_aliases_json,all_identity_fields_reviewed,source_url,accessed_at,scope
cnha-cfdi-017f14c0c0a803332fa8a85a3b4cda37,北京燕化医院,药临床机构备字2024000083,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-019bd4fdc0a80333295037ed6c30e5ef,临沂市妇幼保健院,药临床机构备字2020000909,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=10&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-019d275ec0a803337282d3a0c06b7c4c,三亚中心医院（海南省第三人民医院）,药临床机构备字2020000023,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,2,"[{""hospital_id"": ""cnha-cfdi-019d275ec0a803337282d3a0c06b7c4c"", ""official_name"": ""三亚中心医院（海南省第三人民医院）"", ""candidate_alias"": ""Sanya Central Hospital"", ""source_url"": ""https://ror.org/03t65z939"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}, {""hospital_id"": ""cnha-cfdi-019d275ec0a803337282d3a0c06b7c4c"", ""official_name"": ""三亚中心医院（海南省第三人民医院）"", ""candidate_alias"": ""The Third People's Hospital of Hainan Province"", ""source_url"": ""https://ror.org/03t65z939"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-01b102bec0a803331ea32189f63ef53a,天津医科大学第二医院,药临床机构备字2020000186,filed,confirmed_against_filing_snapshot,The Second Hospital of Tianjin Medical University,source_reviewed,1,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=3&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-01ce64fbc0a8033311bb8697e65ed7a2,西安市第一医院,药临床机构备字2021000158,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-01e7c530c0a8033376dfcfbb36aca1e9,中山大学附属第八医院（深圳福田）,药临床机构备字2020000922,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=10&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-01e8a04dc0a803333b7a357bca186d73,许昌市中心医院,药临床机构备字2023000002,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0200cd89c0a8033354de4fd0c517c12a,合肥市第四人民医院,药临床机构备字2020000893,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02025899c0a8033333fd920d992c9cd2,长春肿瘤医院,药临床机构备字2020000064,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0204cf4ec0a8033354aff48acff76e63,襄阳市中医医院（襄阳市中医药研究所）,药临床机构备字2025000175,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,1,"[{""hospital_id"": ""cnha-cfdi-0204cf4ec0a8033354aff48acff76e63"", ""official_name"": ""襄阳市中医医院（襄阳市中医药研究所）"", ""candidate_alias"": ""襄阳市中医药研究所"", ""source_url"": ""https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-020b6b97c0a8033343681575b8b0d5ac,吉林省神经精神病医院,药临床机构备字2020000289,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0214f190c0a80333202c87af1b34eb9b,国家电网公司北京电力医院,药临床机构备字2026000078,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-021e8132c0a8033359bc9e716a57d0a7,南方医科大学中西医结合医院,药临床机构备字2020000116,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-021e8132c0a8033359bc9e716a57d0a7"", ""official_name"": ""南方医科大学中西医结合医院"", ""candidate_alias"": ""Southern Hospital of Integrated Traditional Chinese and Western Medicine"", ""source_url"": ""https://ror.org/030xn5j74"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}, {""hospital_id"": ""cnha-cfdi-021e8132c0a8033359bc9e716a57d0a7"", ""official_name"": ""南方医科大学中西医结合医院"", ""candidate_alias"": ""TCM-Intigrated Cancer Center of Southern Medical University"", ""source_url"": ""https://ror.org/030xn5j74"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0222d222c0a8033311f46719292466bc,眉山心脑血管病医院,药临床机构备字2023000097,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-022b91abc0a80333197322ee9d3a890c,河北北方学院附属第一医院,药临床机构备字2020000375,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-022bf75fc0a803330ffcffa38d6c9668,宜昌市第三人民医院,药临床机构备字2024000039,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-022df06fc0a8033317b33e6c341915b7,重庆医科大学附属口腔医院,药临床机构备字2020000094,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0237f8e8c0a80333500b0a40443b715e,福建省疾病预防控制中心,药临床机构备字2022000175,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=13&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-023ca52ec0a8033358655f82b112f925,晋江市医院（上海市第六人民医院福建医院）,药临床机构备字2024000128,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,2,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-023da477c0a803335767db9fc2de4af4,定州市人民医院,药临床机构备字2023000104,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-023f6dedc0a803337691c8e5528d9e23,庆阳市中医医院,药临床机构备字2024000035,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02431fbec0a8033378d62a922815684b,太原市第四人民医院（太原市结核病医院）,药临床机构备字2020000071,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,2,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=2&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0243ea7bc0a80333604f1c1845b6c2ca,北京怀柔医院,药临床机构备字2024000199,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=17&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0246c649c0a803337beebd552ff02aed,烟台市莱阳中心医院,药临床机构备字2024000087,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0255932fc0a8033304d8d37f23b83a07,西电集团医院,药临床机构备字2020000755,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-025e0d70c0a803331b14c3a75e70769d,昌吉市人民医院,药临床机构备字2025000065,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-026da985c0a803330344ad79f9f50b3e,泉州市第一医院,药临床机构备字2020000844,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02938fd2c0a803335ba593d7d4dace72,中国人民解放军火箭军特色医学中心,药临床机构备字2020000777,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02943794c0a80333107ca198e86e5766,中国中医科学院眼科医院,药临床机构备字2020000293,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-02943794c0a80333107ca198e86e5766"", ""official_name"": ""中国中医科学院眼科医院"", ""candidate_alias"": ""China Academy of Traditional Chinese Medicine Hospital of Ophthalmology"", ""source_url"": ""https://ror.org/04x5anb81"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-029677b0c0a803330e12f88987a987ae,成都大学附属医院,药临床机构备字2020000401,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-029c782dc0a803337234b2440a735dec,江油市第二人民医院,药临床机构备字2023000172,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02ae8d29c0a8033332c4aa22017e5f97,邢台市人民医院,药临床机构备字2020000345,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02bbb58bc0a8033357a4ad26c04c44ea,赤峰市宁城县中心医院,药临床机构备字2024000157,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02c48e10c0a8033368ae38aa591fc2a8,中国中医科学院广安门医院  中国中医科学院第二临床医药研究所,药临床机构备字2020000362,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=5&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02d4049dc0a80333634b885f68167bfb,昆明医科大学第一附属医院,药临床机构备字2020000797,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02d59fd4c0a803332d9aad409e9fd2f1,沭阳中医院,药临床机构备字2023000151,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-02e7231ec0a80333522bb946bf7fc385,阜阳市人民医院,药临床机构备字2020000646,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=7&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-03069df4c0a80333388554deff76c9fa,安庆市立医院,药临床机构备字2020000877,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-030e3777c0a803332a22e1cf224a4335,南京医科大学第二附属医院,药临床机构备字2020000793,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=9&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-031536cec0a8033363ea666bb0e4781c,苏州市相城人民医院,药临床机构备字2023000238,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=15&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-031ca1c1c0a803331d96ff47bec14a8f,无锡市中医医院,药临床机构备字2020000705,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=8&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-034b5767c0a803337498df639f33cbd4,陕西省第二人民医院,药临床机构备字2021000068,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-034b5767c0a803337498df639f33cbd4"", ""official_name"": ""陕西省第二人民医院"", ""candidate_alias"": ""Second Peoples Hospital of Shaanxi Province"", ""source_url"": ""https://ror.org/03hwa6484"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0355c74dc0a803332d9ba47afbee6005,保山市人民医院,药临床机构备字2023000133,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-035af3a9c0a80333643874c85a536742,成都医学院第一附属医院,药临床机构备字2019000013,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-035af3a9c0a80333643874c85a536742"", ""official_name"": ""成都医学院第一附属医院"", ""candidate_alias"": ""First Affiliated Hospital of Chengdu Medical College"", ""source_url"": ""https://ror.org/03jckbw05"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=1&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0368c31ec0a803332e3a00811faed34d,宾县人民医院  (宾县医共体总医院）,药临床机构备字2024000191,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,1,"[{""hospital_id"": ""cnha-cfdi-0368c31ec0a803332e3a00811faed34d"", ""official_name"": ""宾县人民医院  (宾县医共体总医院）"", ""candidate_alias"": ""宾县医共体总医院"", ""source_url"": ""https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=16&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-036d0cf0c0a803335c983c2912bce8ae,惠阳三和医院（有限合伙）,药临床机构备字2025000100,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0370a829c0a803335db2d5840813ff77,蚌埠市第三人民医院,药临床机构备字2025000238,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=19&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-037384d3c0a803331f397cbb06c31c7e,宁波市第六医院,药临床机构备字2023000086,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-037384d3c0a803331f397cbb06c31c7e"", ""official_name"": ""宁波市第六医院"", ""candidate_alias"": ""Ningbo No.6 Hospital"", ""source_url"": ""https://ror.org/054qnke07"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=14&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-038a67adc0a803337563e67e5c65852d,郑州颐和医院,药临床机构备字2022000056,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=12&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-0390ecafc0a80333326f7b34484d06ef,北京市普仁医院,药临床机构备字2026000115,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=20&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-03936a7cc0a803336ea258b096c459d4,中国中医科学院西苑医院,药临床机构备字2020000251,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,"[{""hospital_id"": ""cnha-cfdi-03936a7cc0a803336ea258b096c459d4"", ""official_name"": ""中国中医科学院西苑医院"", ""candidate_alias"": ""Xiyuan Hospital"", ""source_url"": ""https://ror.org/02y0vze35"", ""status"": ""review_required"", ""reason"": ""Reference-only name; not approved for resolution""}]",False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=4&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-03a3decec0a8033359ecc1313b33f17a,辉县市人民医院,药临床机构备字2021000155,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=11&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
cnha-cfdi-03b10e4fc0a8033303b0cf0fb68f7311,赤峰市中医蒙医医院,药临床机构备字2025000093,filed,confirmed_against_filing_snapshot,,deferred_not_required_for_identity,0,[],False,https://beian.cfdi.org.cn/CTMDS/pub/PUB010100.do?method=handle06&curPage=18&pageSize=100,2026-09-05,"Snapshot identity only; not all aliases, trial participation or current eligibility"
